DOID:0001816, 1, angiosarcoma, Term, DOID:1115
DOID:0050133, 1, superficial mycosis, Term, DOID:1564
DOID:0050133, 1, piedra,  EXACT [], DOID:1564
DOID:0050133, 1, Steroid-modified tinea infection,  EXACT [SNOMEDCT_2005_07_31:238435009], DOID:1564
DOID:0050134, 1, cutaneous mycosis, Term, DOID:1564
DOID:0050135, 1, subcutaneous mycosis, Term, DOID:1564
DOID:0050136, 1, systemic mycosis, Term, DOID:1564
DOID:0050138, 1, podoconiosis, Term, DOID:4976
DOID:0050139, 1, Opisthorchis felineus infectious disease, Term, 
DOID:0050140, 1, acute diarrhea, Term, DOID:13250
DOID:0050141, 1, intestinal botulism, Term, DOID:11976
DOID:0050143, 1, asymptomatic dengue, Term, DOID:12205
DOID:0050144, 1, Kartagener syndrome, Term, DOID:9562
DOID:0050144, 1, Kartagener's syndrome,  EXACT [], DOID:9562
DOID:0050145, 1, adenoiditis, Term, DOID:974
DOID:0050145, 1, chronic adenoiditis,  EXACT [], DOID:974
DOID:0050146, 1, autoimmune glomerulonephritis, Term, 
DOID:0050147, 1, otomycosis, Term, DOID:9463
DOID:0050147, 1, Singapore ear,  EXACT [], DOID:9463
DOID:0050148, 1, laryngotracheitis, Term, DOID:974
DOID:0050150, 1, Pontiac fever, Term, DOID:10458
DOID:0050151, 1, tracheobronchial tuberculosis, Term, 
DOID:0050152, 1, aspiration pneumonia, Term, DOID:874
DOID:0050153, 1, pulmonary aspergilloma, Term, DOID:13564
DOID:0050154, 1, mycoplasmal pneumonia, Term, 
DOID:0050155, 1, sensory system disease, Term, DOID:863
DOID:0050156, 1, idiopathic pulmonary fibrosis, Term, DOID:2797
DOID:0050156, 1, cryptogenic fibrosing alveolitis,  EXACT [], DOID:2797
DOID:0050156, 1, FIBROCYSTIC PULMONARY DYSPLASIA,  EXACT [], DOID:2797
DOID:0050156, 1, IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL,  EXACT [], DOID:2797
DOID:0050157, 1, cryptogenic organizing pneumonia, Term, DOID:2797
DOID:0050157, 1, BOOP,  EXACT [], DOID:2797
DOID:0050157, 1, bronchiolitis obliterans organizing pneumonia,  EXACT [], DOID:2797
DOID:0050157, 1, Bronchiolitis obliterans organizing pneumonia (disorder),  EXACT [SNOMEDCT_2005_07_31:129458007], DOID:2797
DOID:0050157, 1, Cryptogenic organizing pneumonitis,  EXACT [], DOID:2797
DOID:0050157, 1, idiopathic bronchiolitis obliterans with organizing pneumonia,  EXACT [], DOID:2797
DOID:0050158, 1, desquamative interstitial pneumonia, Term, DOID:2797
DOID:0050158, 1, desquamative interstitial pneumonia,  EXACT [], DOID:2797
DOID:0050158, 1, familial desquamative interstitial pneumonitis,  EXACT [], DOID:2797
DOID:0050158, 1, RBILD,  EXACT [], DOID:2797
DOID:0050158, 1, respiratory bronchiolitis-associated interstitial lung disease,  EXACT [], DOID:2797
DOID:0050159, 1, lymphoid interstitial pneumonia, Term, DOID:2797
DOID:0050160, 1, inhalation anthrax, Term, DOID:7427
DOID:0050160, 1, pulmonary anthrax,  EXACT [], DOID:7427
DOID:0050160, 1, respiratory anthrax,  EXACT [MTHICD9_2006:022.1], DOID:7427
DOID:0050160, 1, wool-sorters' disease,  EXACT [], DOID:7427
DOID:0050160, 1, woolsorters' disease,  EXACT [], DOID:7427
DOID:0050161, 1, lower respiratory tract disease, Term, DOID:1579
DOID:0050162, 1, influenza encephalopathy, Term, 
DOID:0050163, 1, influenza myocarditis, Term, 
DOID:0050164, 1, influenza myositis, Term, 
DOID:0050165, 1, tuberculous mesenteric gland, Term, 
DOID:0050166, 1, tuberculous salpingitis, Term, DOID:2149
DOID:0050167, 1, autoimmune polyendocrine syndrome type 1, Term, DOID:14040
DOID:0050167, 1, autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,  EXACT [], DOID:14040
DOID:0050167, 1, Autoimmune Polyglandular Syndrome I,  EXACT [], DOID:14040
DOID:0050167, 1, Whitaker syndrom,  EXACT [], DOID:14040
DOID:0050168, 1, autoimmune polyendocrine syndrome type 2, Term, DOID:14040
DOID:0050168, 1, Schmidt syndrome,  EXACT [], DOID:14040
DOID:0050169, 1, cutaneous lupus erythematosus, Term, DOID:8857
DOID:0050170, 1, Jamestown Canyon encephalitis, Term, 
DOID:0050171, 1, snowshoe hare encephalitis, Term, 
DOID:0050172, 1, trivittatus encephalitis, Term, 
DOID:0050173, 1, inkoo encephalitis, Term, 
DOID:0050174, 1, Kunjin encephalitis, Term, DOID:2365
DOID:0050175, 1, tick-borne encephalitis, Term, DOID:934
DOID:0050175, 1, Central European encephalitis,  EXACT [], DOID:934
DOID:0050175, 1, Far Eastern TBE,  EXACT [], DOID:934
DOID:0050175, 1, Russian spring-summer encephalitis,  EXACT [], DOID:934
DOID:0050175, 1, Siberian tick-borne encephalitis,  EXACT [], DOID:934
DOID:0050175, 1, Taiga encephalitis,  EXACT [MTHICD9_2006:063.0], DOID:934
DOID:0050175, 1, west-Siberian encephalitis,  EXACT [], DOID:934
DOID:0050175, 1, Western European tick-borne encephalitis,  EXACT [SNOMEDCT_2005_07_31:16901001], DOID:934
DOID:0050177, 1, monogenic disease, Term, DOID:630
DOID:0050178, 1, complex genetic disease, Term, 
DOID:0050179, 1, Powassan encephalitis, Term, DOID:934
DOID:0050180, 1, Colorado tick fever encephalitis, Term, 
DOID:0050181, 1, Herpes simplex virus encephalitis, Term, 
DOID:0050182, 1, Varicella-zoster virus encephalitis, Term, 
DOID:0050182, 1, Herpes zoster encephalitis,  EXACT [SNOMEDCT_2005_07_31:186521003, SNOMEDCT_2005_07_31:192692005], 
DOID:0050182, 1, Postchickenpox encephalitis,  EXACT [MTHICD9_2006:052.0], 
DOID:0050182, 1, postvaricella encephalitis,  EXACT [], 
DOID:0050182, 1, Varicella Zoster Encephalitis,  EXACT [MTH:NOCODE], 
DOID:0050183, 1, Epstein-Barr virus encephalitis, Term, 
DOID:0050184, 1, Measles virus encephalitis, Term, 
DOID:0050184, 1, Post measles encephalitis (disorder),  EXACT [SNOMEDCT_2005_07_31:111872008], 
DOID:0050184, 1, Post-measles encephalitis,  EXACT [SNOMEDCT_2005_07_31:154339003, SNOMEDCT_2005_07_31:186557008, SNOMEDCT_2005_07_31:230178009], 
DOID:0050184, 1, postmeasles encephalitis,  EXACT [], 
DOID:0050185, 1, erythema multiforme, Term, DOID:37
DOID:0050186, 1, Cytomegalovirus encephalitis, Term, 
DOID:0050187, 1, Rubella virus encephalitis, Term, 
DOID:0050188, 1, coxsackievirus encephalitis, Term, 
DOID:0050189, 1, polioencephalitis, Term, 
DOID:0050190, 1, adenovirus encephalitis, Term, 
DOID:0050191, 1, influenza virus encephalitis, Term, 
DOID:0050192, 1, Nipah virus encephalitis, Term, 
DOID:0050193, 1, Lymphocytic choriomeningitis virus encephalitis, Term, 
DOID:0050194, 1, Argentine hemorrhagic fever, Term, DOID:934
DOID:0050195, 1, Bolivian hemorrhagic fever, Term, DOID:934
DOID:0050196, 1, Venezuelan hemorrhagic fever, Term, DOID:934
DOID:0050197, 1, Brazilian hemorrhagic fever, Term, DOID:934
DOID:0050198, 1, Chapare hemorrhagic fever, Term, DOID:934
DOID:0050199, 1, Whitewater Arroyo hemorrhagic fever, Term, DOID:934
DOID:0050200, 1, Korean hemorrhagic fever, Term, DOID:11266
DOID:0050201, 1, nephropathia epidemica, Term, DOID:11266
DOID:0050202, 1, lujo hemorrhagic fever, Term, DOID:934
DOID:0050203, 1, Cytomegalovirus hepatitis, Term, 
DOID:0050204, 1, Epstein-Barr virus hepatitis, Term, DOID:1884
DOID:0050205, 1, Herpes simplex virus hepatitis, Term, 
DOID:0050206, 1, adenovirus hepatitis, Term, 
DOID:0050207, 1, Rubella virus hepatitis, Term, 
DOID:0050208, 1, yellow fever hepatitis, Term, 
DOID:0050209, 1, Measles virus hepatitis, Term, 
DOID:0050210, 1, Varicella-zoster virus hepatitis, Term, 
DOID:0050211, 1, swine influenza, Term, DOID:8469
DOID:0050212, 1, Campylobacter jejuni gastroenteritis, Term, 
DOID:0050212, 1, Campylobacter Gastroenteritis,  EXACT [NCI2004_11_17:C35162], 
DOID:0050213, 1, Vibrio gastroenteritis, Term, 
DOID:0050214, 1, Lambert-Eaton myasthenic syndrome, Term, DOID:439
DOID:0050214, 1, Eaton-Lambert syndrome,  EXACT [MSH:D015624], DOID:439
DOID:0050214, 1, Lambert-Eaton syndrome,  EXACT [MSH:D015624], DOID:439
DOID:0050214, 1, LEMS,  EXACT [], DOID:439
DOID:0050215, 1, Staphylococcus gastroenteritis, Term, 
DOID:0050215, 1, Staphylococcus Aureus Gastroenteritis,  EXACT [NCI2004_11_17:C35036], 
DOID:0050216, 1, Bacillus cereus gastroenteritis, Term, 
DOID:0050217, 1, Sapovirus gastroenteritis, Term, 
DOID:0050218, 1, polycystic echinococcosis, Term, DOID:1496
DOID:0050218, 1, human polycystic hydatid disease,  EXACT [], DOID:1496
DOID:0050218, 1, neotropical echinococcosis,  EXACT [], DOID:1496
DOID:0050219, 1, Hepeviridae infectious disease, Term, 
DOID:0050220, 1, Coxiella burnetii pneumonia, Term, 
DOID:0050220, 1, Q fever pneumonia,  EXACT [], 
DOID:0050221, 1, Coxiella burnetii hepatitis, Term, 
DOID:0050221, 1, Q fever hepatitis,  EXACT [], 
DOID:0050222, 1, selective IgM deficiency disease, Term, DOID:11702
DOID:0050223, 1, candidal gastritis, Term, 
DOID:0050224, 1, Helicobacter heilmannii infectious disease, Term, 
DOID:0050225, 1, Histoplasma capsulatum gastritis, Term, 
DOID:0050226, 1, Morganella morganii intestinal infectious disease, Term, 
DOID:0050227, 1, Vibrio cholerae O139 cholera, Term, 
DOID:0050228, 1, amebic dysentery, Term, 
DOID:0050228, 1, amebic dysentery,  EXACT [], 
DOID:0050228, 1, amoebic dysentery,  EXACT [], 
DOID:0050228, 1, Entamoeba histolytica dysentery,  EXACT [], 
DOID:0050229, 1, Escherichia coli dysentery, Term, 
DOID:0050230, 1, intestinal capillariasis, Term, 
DOID:0050231, 1, hepatic capillariasis, Term, 
DOID:0050232, 1, pulmonary capillariasis, Term, 
DOID:0050233, 1, Balamuthia mandrillaris infectious disease, Term, 
DOID:0050234, 1, Acanthamoeba infectious disease, Term, 
DOID:0050234, 1, free-living ameba infectious disease,  EXACT [], 
DOID:0050235, 1, Alveolata infectious disease, Term, 
DOID:0050236, 1, Heterolobosea infectious disease, Term, 
DOID:0050237, 1, Euglenozoa infectious disease, Term, 
DOID:0050238, 1, Parabasalia infectious disease, Term, 
DOID:0050239, 1, Fornicata infectious disease, Term, 
DOID:0050240, 1, Trichomonadida infectious disease, Term, 
DOID:0050241, 1, Tritrichomonadida infectious disease, Term, 
DOID:0050242, 1, primary amebic meningoencephalitis, Term, DOID:2789
DOID:0050242, 1, Naegleria fowleri infection,  EXACT [], DOID:2789
DOID:0050243, 1, Apicomplexa infectious disease, Term, 
DOID:0050244, 1, Coccidia infectious disease, Term, 
DOID:0050245, 1, Aconoidasida infectious disease, Term, 
DOID:0050246, 1, granulomatous amebic encephalitis, Term, DOID:2789
DOID:0050246, 1, Acanthamoeba encephalitis,  EXACT [], DOID:2789
DOID:0050246, 1, Acanthamoeba granulomatous encephalitis,  EXACT [], DOID:2789
DOID:0050246, 1, Granulomatous Amebic Encephalitis due to Acanthamoeba,  EXACT [], DOID:2789
DOID:0050246, 1, granulomatous amoebic encephalitis,  EXACT [], DOID:2789
DOID:0050247, 1, parasitic stramenopiles infectious disease, Term, 
DOID:0050249, 1, Brugia timori filariasis, Term, 
DOID:0050250, 1, philophthalmiasis, Term, DOID:883
DOID:0050251, 1, coenurosis, Term, DOID:883
DOID:0050252, 1, Dipylidium caninum infectious disease, Term, 
DOID:0050253, 1, mesocestoidiasis, Term, DOID:883
DOID:0050254, 1, acanthocephaliasis, Term, DOID:883
DOID:0050255, 1, Uncinaria stenocephala infectious disease, Term, 
DOID:0050256, 1, angiostrongyliasis, Term, DOID:883
DOID:0050257, 1, Angiostrongylus cantonensis infectious disease, Term, 
DOID:0050258, 1, Angiostrongylus costaricensis infectious disease, Term, 
DOID:0050259, 1, baylisascariasis, Term, DOID:883
DOID:0050260, 1, dioctophymiasis, Term, DOID:883
DOID:0050261, 1, thelaziasis, Term, DOID:883
DOID:0050262, 1, Acoelomata infectious disease, Term, 
DOID:0050263, 1, Pseudocoelomata infectious disease, Term, 
DOID:0050264, 1, Acanthocephala infectious disease, Term, 
DOID:0050265, 1, tick paralysis, Term, 
DOID:0050266, 1, tungiasis, Term, DOID:4110
DOID:0050267, 1, Ancylostoma caninum ancylostomiasis, Term, 
DOID:0050268, 1, ophthalmomyiasis, Term, DOID:11080
DOID:0050269, 1, Trichomonas vaginalis trichomoniasis, Term, 
DOID:0050269, 1, urogenital trichomonas,  EXACT [], 
DOID:0050270, 1, Trichomonas tenax trichomoniasis, Term, 
DOID:0050271, 1, cutaneous ascomycota mycosis, Term, 
DOID:0050272, 1, cutaneous basidiomycota mycosis, Term, 
DOID:0050273, 1, Neoscytalidium dimidiatum infectious disease, Term, 
DOID:0050274, 1, Scopulariopsis infectious disease, Term, 
DOID:0050275, 1, onychomycosis, Term, 
DOID:0050276, 1, subcutaneous ascomycota mycosis, Term, 
DOID:0050277, 1, subcutaneous fungi incertae sedis mycosis, Term, 
DOID:0050278, 1, basidiobolomycosis, Term, DOID:0050135
DOID:0050279, 1, conidiobolomycosis, Term, DOID:0050135
DOID:0050280, 1, superficial ascomycota mycosis, Term, 
DOID:0050281, 1, superficial basidiomycota mycosis, Term, 
DOID:0050282, 1, primary systemic ascomycota mycosis, Term, 
DOID:0050283, 1, Stachybotrys infectious disease, Term, 
DOID:0050284, 1, opportunistic ascomycota mycosis, Term, 
DOID:0050285, 1, opportunistic basidiomycota mycosis, Term, 
DOID:0050286, 1, opportunistic fungi incertae sedis mycosis, Term, 
DOID:0050287, 1, opportunistic microsporidia mycosis, Term, 
DOID:0050288, 1, penicilliosis, Term, DOID:2473
DOID:0050289, 1, fusariosis, Term, DOID:2473
DOID:0050290, 1, trichosporonosis, Term, DOID:2473
DOID:0050291, 1, parasitic Ichthyosporea infectious disease, Term, DOID:1398
DOID:0050292, 1, primary systemic mycosis, Term, DOID:0050136
DOID:0050293, 1, Scopulariopsis brevicaulis infectious disease, Term, 
DOID:0050294, 1, Scytalidium hyalinum infectious disease, Term, 
DOID:0050295, 1, cutaneous sporotrichosis, Term, 
DOID:0050295, 1, plaque sporotrichosis,  EXACT [], 
DOID:0050296, 1, Asfarviridae infectious disease, Term, 
DOID:0050297, 1, primary Francisellaceae infectious disease, Term, 
DOID:0050298, 1, adenovirus infectious disease, Term, 
DOID:0050298, 1, Adenoviridae infectious disease,  EXACT [], 
DOID:0050299, 1, Simplexvirus infectious disease, Term, 
DOID:0050300, 1, Deltavirus infectious disease, Term, 
DOID:0050301, 1, Polyomaviridae infectious disease, Term, 
DOID:0050302, 1, Varicellovirus infectious disease, Term, 
DOID:0050303, 1, Hepacivirus infectious disease, Term, 
DOID:0050304, 1, aniseikonia, Term, DOID:9835
DOID:0050305, 1, Arteriviridae infectious disease, Term, 
DOID:0050306, 1, familial abdominal aortic aneurysm, Term, 
DOID:0050307, 1, Bornaviridae infectious disease, Term, 
DOID:0050308, 1, Alkhurma hemorrhagic fever, Term, DOID:11320
DOID:0050309, 1, Measles virus infectious disease, Term, 
DOID:0050310, 1, primary Listeriaceae infectious disease, Term, 
DOID:0050311, 1, primary Helicobacteraceae infectious disease, Term, 
DOID:0050312, 1, primary Campylobacteraceae infectious disease, Term, 
DOID:0050313, 1, primary Brucellaceae infectious disease, Term, 
DOID:0050314, 1, primary Erysipelotrichaceae infectious disease, Term, 
DOID:0050315, 1, commensal Clostridiaceae infectious disease, Term, 
DOID:0050316, 1, commensal Staphylococcaceae infectious disease, Term, 
DOID:0050317, 1, commensal Streptococcaceae infectious disease, Term, 
DOID:0050318, 1, primary Burkholderiaceae infectious disease, Term, 
DOID:0050319, 1, primary Legionellaceae infectious disease, Term, 
DOID:0050320, 1, commensal Alcaligenaceae infectious disease, Term, 
DOID:0050321, 1, opportunistic Pseudomonadaceae infectious disease, Term, 
DOID:0050322, 1, primary Vibrionaceae infectious disease, Term, 
DOID:0050323, 1, primary Coxiellaceae infectious disease, Term, 
DOID:0050324, 1, physical disorder OBSOLETED TERM, Term, 
DOID:0050325, 1, genetic disorder, Term, 
DOID:0050327, 1, peripheral dysostosis, Term, 
DOID:0050327, 1, Peripheral Dysostosis-Nasal Hypoplasia-Mental Retardation,  EXACT [], 
DOID:0050328, 1, congenital hypothyroidism, Term, DOID:1459
DOID:0050328, 1, cretinism,  EXACT [CSP2005:2928-6883], DOID:1459
DOID:0050329, 1, mental disorder, Term, 
DOID:0050331, 1, LADD syndrome, Term, DOID:0050736
DOID:0050331, 1, lacrimoauriculodentodigital syndrome,  EXACT [], DOID:0050736
DOID:0050331, 1, LEVY-HOLLISTER SYNDROME,  EXACT [], DOID:0050736
DOID:0050332, 1, enlarged vestibular aqueduct, Term, DOID:2742
DOID:0050333, 1, congenital anosmia, Term, 
DOID:0050334, 1, thiourea tasting, Term, 
DOID:0050334, 1, PHENYLTHIOCARBAMIDE TASTING, INCLUDED,  EXACT [], 
DOID:0050334, 1, PROPYLTHIOURACIL TASTING, INCLUDED,  EXACT [], 
DOID:0050335, 1, bradyopsia, Term, DOID:5679
DOID:0050335, 1, prolonged electroretinal response suppression,  EXACT [], DOID:5679
DOID:0050336, 1, hypophosphatemia, Term, DOID:2485
DOID:0050337, 1, Burkholderia cepacia infectious disease, Term, 
DOID:0050338, 1, primary bacterial infectious disease, Term, DOID:104
DOID:0050339, 1, commensal bacterial infectious disease, Term, DOID:104
DOID:0050340, 1, opportunistic bacterial infectious disease, Term, DOID:104
DOID:0050341, 1, opportunistic Actinomycetales infectious disease, Term, 
DOID:0050342, 1, commensal Actinomycetales infectious disease, Term, 
DOID:0050343, 1, Gardnerella vaginalis vaginosis, Term, 
DOID:0050344, 1, commensal Bifidobacteriaceae infectious disease, Term, 
DOID:0050345, 1, primary Thermomonosporaceae infectious disease, Term, 
DOID:0050346, 1, primary Corynebacteriaceae infectious disease, Term, 
DOID:0050347, 1, primary Mycobacteriaceae infectious disease, Term, 
DOID:0050348, 1, primary Streptomycetaceae infectious disease, Term, 
DOID:0050349, 1, opportunistic Nocardiaceae infectious disease, Term, 
DOID:0050350, 1, primary Clostridiaceae infectious disease, Term, 
DOID:0050351, 1, primary Clostridium infectious disease, Term, 
DOID:0050352, 1, foodborne botulism, Term, DOID:11976
DOID:0050353, 1, wound botulism, Term, DOID:11976
DOID:0050354, 1, infant botulism, Term, DOID:11976
DOID:0050355, 1, opportunistic Burkholderiaceae infectious disease, Term, 
DOID:0050357, 1, Burkholderia cenocepacia infectious disease, Term, 
DOID:0050358, 1, commensal Chlamydiaceae infectious disease, Term, 
DOID:0050359, 1, Bilophila wadsworthia necrotizing fasciitis, Term, 
DOID:0050360, 1, commensal Enterobacteriaceae infectious disease, Term, 
DOID:0050361, 1, opportunistic Enterobacteriaceae infectious disease, Term, 
