D006394, MSH, DOID:0001816
D018549, MSH, DOID:0050157
C62586, NCI, DOID:0050157
129458007, SNOMEDCT_US_2015_03_01, DOID:0050157
C0242770, UMLS_CUI, DOID:0050157
J84.115, ICD10CM, DOID:0050158
J84.117, ICD10CM, DOID:0050158
516.34, ICD9CM, DOID:0050158
516.37, ICD9CM, DOID:0050158
C562470, MSH, DOID:0050158
C35288, NCI, DOID:0050158
263000, OMIM, DOID:0050158
8549006, SNOMEDCT_US_2015_03_01, DOID:0050158
C0238378, UMLS_CUI, DOID:0050158
478.1, ICD9CM, DOID:0050161
478.19, ICD9CM, DOID:0050161
195823002, SNOMEDCT_US_2015_03_01, DOID:0050161
266346007, SNOMEDCT_US_2015_03_01, DOID:0050161
C0029581, UMLS_CUI, DOID:0050161
A18.17, ICD10CM, DOID:0050166
016.6, ICD9CM, DOID:0050166
186242002, SNOMEDCT_US_2015_03_01, DOID:0050166
186243007, SNOMEDCT_US_2015_03_01, DOID:0050166
C0152828, UMLS_CUI, DOID:0050166
A84.1, ICD10CM, DOID:0050175
063.2, ICD9CM, DOID:0050175
D004675, MSH, DOID:0050175
16901001, SNOMEDCT_US_2015_03_01, DOID:0050175
C0014054, UMLS_CUI, DOID:0050175
G70.80, ICD10CM, DOID:0050214
358.3, ICD9CM, DOID:0050214
D015624, MSH, DOID:0050214
C3155, NCI, DOID:0050214
230688006, SNOMEDCT_US_2015_03_01, DOID:0050214
56989000, SNOMEDCT_US_2015_03_01, DOID:0050214
C0022972, UMLS_CUI, DOID:0050214
E00.1, ICD10CM, DOID:0050328
E03.1, ICD10CM, DOID:0050328
243, ICD9CM, DOID:0050328
D003409, MSH, DOID:0050328
C26734, NCI, DOID:0050328
C98921, NCI, DOID:0050328
218700, OMIM, DOID:0050328
225250, OMIM, DOID:0050328
274400, OMIM, DOID:0050328
274500, OMIM, DOID:0050328
274900, OMIM, DOID:0050328
275100, OMIM, DOID:0050328
275200, OMIM, DOID:0050328
607200, OMIM, DOID:0050328
609893, OMIM, DOID:0050328
614450, OMIM, DOID:0050328
154660000, SNOMEDCT_US_2015_03_01, DOID:0050328
154661001, SNOMEDCT_US_2015_03_01, DOID:0050328
190268003, SNOMEDCT_US_2015_03_01, DOID:0050328
190273009, SNOMEDCT_US_2015_03_01, DOID:0050328
217710005, SNOMEDCT_US_2015_03_01, DOID:0050328
267376007, SNOMEDCT_US_2015_03_01, DOID:0050328
267465007, SNOMEDCT_US_2015_03_01, DOID:0050328
3614006, SNOMEDCT_US_2015_03_01, DOID:0050328
75065003, SNOMEDCT_US_2015_03_01, DOID:0050328
C0010308, UMLS_CUI, DOID:0050328
C0342200, UMLS_CUI, DOID:0050328
149730, OMIM, DOID:0050331
600791, OMIM, DOID:0050332
C564243, MSH, DOID:0050335
608415, OMIM, DOID:0050335
75374, ORDO, DOID:0050335
C1842073, UMLS_CUI, DOID:0050335
144700, OMIM, DOID:0050387
610984, OMIM, DOID:0050419
D011125, MSH, DOID:0050424
C3339, NCI, DOID:0050424
175100, OMIM, DOID:0050424
608456, OMIM, DOID:0050424
154609001, SNOMEDCT_US_2015_03_01, DOID:0050424
188828009, SNOMEDCT_US_2015_03_01, DOID:0050424
269636003, SNOMEDCT_US_2015_03_01, DOID:0050424
423471004, SNOMEDCT_US_2015_03_01, DOID:0050424
70921007, SNOMEDCT_US_2015_03_01, DOID:0050424
72900001, SNOMEDCT_US_2015_03_01, DOID:0050424
C0032580, UMLS_CUI, DOID:0050424
C2713442, UMLS_CUI, DOID:0050424
C2713443, UMLS_CUI, DOID:0050424
0004270, EFO, DOID:0050425
G25.81, ICD10CM, DOID:0050425
333.94, ICD9CM, DOID:0050425
D012148, MSH, DOID:0050425
C84501, NCI, DOID:0050425
102300, OMIM, DOID:0050425
608830, OMIM, DOID:0050425
610438, OMIM, DOID:0050425
610439, OMIM, DOID:0050425
611185, OMIM, DOID:0050425
611242, OMIM, DOID:0050425
612853, OMIM, DOID:0050425
615197, OMIM, DOID:0050425
32914008, SNOMEDCT_US_2015_03_01, DOID:0050425
393579008, SNOMEDCT_US_2015_03_01, DOID:0050425
C0035258, UMLS_CUI, DOID:0050425
0004276, EFO, DOID:0050426
L51.1, ICD10CM, DOID:0050426
L51.2, ICD10CM, DOID:0050426
695.13, ICD9CM, DOID:0050426
695.15, ICD9CM, DOID:0050426
D013262, MSH, DOID:0050426
C79484, NCI, DOID:0050426
C79777, NCI, DOID:0050426
156362004, SNOMEDCT_US_2015_03_01, DOID:0050426
200919006, SNOMEDCT_US_2015_03_01, DOID:0050426
23067006, SNOMEDCT_US_2015_03_01, DOID:0050426
238819008, SNOMEDCT_US_2015_03_01, DOID:0050426
267848009, SNOMEDCT_US_2015_03_01, DOID:0050426
403609001, SNOMEDCT_US_2015_03_01, DOID:0050426
73442001, SNOMEDCT_US_2015_03_01, DOID:0050426
C0014518, UMLS_CUI, DOID:0050426
C0038325, UMLS_CUI, DOID:0050426
C1274933, UMLS_CUI, DOID:0050426
C3658301, UMLS_CUI, DOID:0050426
C3658302, UMLS_CUI, DOID:0050426
Q82.1, ICD10CM, DOID:0050427
D014983, MSH, DOID:0050427
C3452, NCI, DOID:0050427
278700, OMIM, DOID:0050427
278720, OMIM, DOID:0050427
278730, OMIM, DOID:0050427
278740, OMIM, DOID:0050427
278750, OMIM, DOID:0050427
278760, OMIM, DOID:0050427
278780, OMIM, DOID:0050427
610651, OMIM, DOID:0050427
44600005, SNOMEDCT_US_2015_03_01, DOID:0050427
C0043346, UMLS_CUI, DOID:0050427
D015776, MSH, DOID:0050428
C3147, NCI, DOID:0050428
600962, OMIM, DOID:0050428
613000, OMIM, DOID:0050428
615735, OMIM, DOID:0050428
2337, ORDO, DOID:0050428
205584004, SNOMEDCT_US_2015_03_01, DOID:0050428
28596004, SNOMEDCT_US_2015_03_01, DOID:0050428
399955009, SNOMEDCT_US_2015_03_01, DOID:0050428
400123002, SNOMEDCT_US_2015_03_01, DOID:0050428
81206005, SNOMEDCT_US_2015_03_01, DOID:0050428
C0022584, UMLS_CUI, DOID:0050428
C3489771, UMLS_CUI, DOID:0050428
Q82.8, ICD10CM, DOID:0050429
D016506, MSH, DOID:0050429
C82865, NCI, DOID:0050429
169600, OMIM, DOID:0050429
79468000, SNOMEDCT_US_2015_03_01, DOID:0050429
C0085106, UMLS_CUI, DOID:0050429
E31.22, ICD10CM, DOID:0050430
258.02, ICD9CM, DOID:0050430
D018813, MSH, DOID:0050430
C3226, NCI, DOID:0050430
171400, OMIM, DOID:0050430
247698, ORDO, DOID:0050430
61808009, SNOMEDCT_US_2015_03_01, DOID:0050430
C0025268, UMLS_CUI, DOID:0050430
D019571, MSH, DOID:0050431
C84571, NCI, DOID:0050431
107970, OMIM, DOID:0050431
600996, OMIM, DOID:0050431
602086, OMIM, DOID:0050431
602087, OMIM, DOID:0050431
604400, OMIM, DOID:0050431
604401, OMIM, DOID:0050431
607450, OMIM, DOID:0050431
609040, OMIM, DOID:0050431
610193, OMIM, DOID:0050431
610476, OMIM, DOID:0050431
611528, OMIM, DOID:0050431
615616, OMIM, DOID:0050431
247, ORDO, DOID:0050431
253528005, SNOMEDCT_US_2015_03_01, DOID:0050431
281170005, SNOMEDCT_US_2015_03_01, DOID:0050431
C0349788, UMLS_CUI, DOID:0050431
F84.5, ICD10CM, DOID:0050432
D020817, MSH, DOID:0050432
C97159, NCI, DOID:0050432
300494, OMIM, DOID:0050432
300497, OMIM, DOID:0050432
608631, OMIM, DOID:0050432
608638, OMIM, DOID:0050432
608781, OMIM, DOID:0050432
609954, OMIM, DOID:0050432
1162, ORDO, DOID:0050432
154879004, SNOMEDCT_US_2015_03_01, DOID:0050432
192586006, SNOMEDCT_US_2015_03_01, DOID:0050432
23560001, SNOMEDCT_US_2015_03_01, DOID:0050432
C0236792, UMLS_CUI, DOID:0050432
A81.83, ICD10CM, DOID:0050433
046.72, ICD9CM, DOID:0050433
D034062, MSH, DOID:0050433
C84711, NCI, DOID:0050433
600072, OMIM, DOID:0050433
83157008, SNOMEDCT_US_2015_03_01, DOID:0050433
C0206042, UMLS_CUI, DOID:0050433
D050030, MSH, DOID:0050434
C84559, NCI, DOID:0050434
170390, OMIM, DOID:0050434
422348008, SNOMEDCT_US_2015_03_01, DOID:0050434
C1563715, UMLS_CUI, DOID:0050434
D050336, MSH, DOID:0050436
C84906, NCI, DOID:0050436
253250, OMIM, DOID:0050436
81604003, SNOMEDCT_US_2015_03_01, DOID:0050436
C0524582, UMLS_CUI, DOID:0050436
D052120, MSH, DOID:0050437
C84735, NCI, DOID:0050437
300257, OMIM, DOID:0050437
419097006, SNOMEDCT_US_2015_03_01, DOID:0050437
C0878677, UMLS_CUI, DOID:0050437
D052159, MSH, DOID:0050438
136680, OMIM, DOID:0050438
445431000, SNOMEDCT_US_2015_03_01, DOID:0050438
C0950122, UMLS_CUI, DOID:0050438
D052245, MSH, DOID:0050439
C85217, NCI, DOID:0050439
276900, OMIM, DOID:0050439
276901, OMIM, DOID:0050439
276902, OMIM, DOID:0050439
276904, OMIM, DOID:0050439
601067, OMIM, DOID:0050439
602083, OMIM, DOID:0050439
602097, OMIM, DOID:0050439
605472, OMIM, DOID:0050439
606943, OMIM, DOID:0050439
611383, OMIM, DOID:0050439
612632, OMIM, DOID:0050439
614504, OMIM, DOID:0050439
614869, OMIM, DOID:0050439
614990, OMIM, DOID:0050439
886, ORDO, DOID:0050439
57838006, SNOMEDCT_US_2015_03_01, DOID:0050439
73119000, SNOMEDCT_US_2015_03_01, DOID:0050439
C0271097, UMLS_CUI, DOID:0050439
C1568248, UMLS_CUI, DOID:0050439
C1568249, UMLS_CUI, DOID:0050439
C2931205, UMLS_CUI, DOID:0050439
D052496, MSH, DOID:0050440
C84708, NCI, DOID:0050440
151660, OMIM, DOID:0050440
604367, OMIM, DOID:0050440
608600, OMIM, DOID:0050440
613877, OMIM, DOID:0050440
615238, OMIM, DOID:0050440
49292002, SNOMEDCT_US_2015_03_01, DOID:0050440
C0271694, UMLS_CUI, DOID:0050440
C1720859, UMLS_CUI, DOID:0050440
C1720860, UMLS_CUI, DOID:0050440
C1720861, UMLS_CUI, DOID:0050440
D052517, MSH, DOID:0050441
C84908, NCI, DOID:0050441
272200, OMIM, DOID:0050441
254076009, SNOMEDCT_US_2015_03_01, DOID:0050441
54898003, SNOMEDCT_US_2015_03_01, DOID:0050441
C0268263, UMLS_CUI, DOID:0050441
C1720864, UMLS_CUI, DOID:0050441
G60.1, ICD10CM, DOID:0050444
D052919, MSH, DOID:0050444
C84789, NCI, DOID:0050444
266510, OMIM, DOID:0050444
238062008, SNOMEDCT_US_2015_03_01, DOID:0050444
C0282527, UMLS_CUI, DOID:0050444
E83.31, ICD10, DOID:0050445
D053098, MSH, DOID:0050445
C85234, NCI, DOID:0050445
300554, OMIM, DOID:0050445
307800, OMIM, DOID:0050445
82236004, SNOMEDCT_US_2015_03_01, DOID:0050445
C0733682, UMLS_CUI, DOID:0050445
C1845168, UMLS_CUI, DOID:0050445
C3540852, UMLS_CUI, DOID:0050445
D053529, MSH, DOID:0050448
C84760, NCI, DOID:0050448
193900, OMIM, DOID:0050448
615785, OMIM, DOID:0050448
171723, ORDO, DOID:0050448
389203001, SNOMEDCT_US_2015_03_01, DOID:0050448
62953009, SNOMEDCT_US_2015_03_01, DOID:0050448
85388002, SNOMEDCT_US_2015_03_01, DOID:0050448
C1721005, UMLS_CUI, DOID:0050448
D053549, MSH, DOID:0050449
C84986, NCI, DOID:0050449
167200, OMIM, DOID:0050449
167210, OMIM, DOID:0050449
205600001, SNOMEDCT_US_2015_03_01, DOID:0050449
39427000, SNOMEDCT_US_2015_03_01, DOID:0050449
C0265334, UMLS_CUI, DOID:0050449
C1706595, UMLS_CUI, DOID:0050449
C1721007, UMLS_CUI, DOID:0050449
C531690, MSH, DOID:0050450
D053579, MSH, DOID:0050450
C84730, NCI, DOID:0050450
263800, OMIM, DOID:0050450
3188003, SNOMEDCT_US_2015_03_01, DOID:0050450
707756004, SNOMEDCT_US_2015_03_01, DOID:0050450
C0268450, UMLS_CUI, DOID:0050450
D053840, MSH, DOID:0050451
C71059, NCI, DOID:0050451
601144, OMIM, DOID:0050451
611777, OMIM, DOID:0050451
611875, OMIM, DOID:0050451
611876, OMIM, DOID:0050451
612838, OMIM, DOID:0050451
613119, OMIM, DOID:0050451
613120, OMIM, DOID:0050451
613123, OMIM, DOID:0050451
418818005, SNOMEDCT_US_2015_03_01, DOID:0050451
C1142166, UMLS_CUI, DOID:0050451
C1721096, UMLS_CUI, DOID:0050451
C1955837, UMLS_CUI, DOID:0050451
D054078, MSH, DOID:0050452
C84890, NCI, DOID:0050452
610377, OMIM, DOID:0050452
124327008, SNOMEDCT_US_2015_03_01, DOID:0050452
234538002, SNOMEDCT_US_2015_03_01, DOID:0050452
C0342731, UMLS_CUI, DOID:0050452
C0398691, UMLS_CUI, DOID:0050452
C1959626, UMLS_CUI, DOID:0050452
Q04.3, ICD10CM, DOID:0050453
Q04.8, ICD10CM, DOID:0050453
D054082, MSH, DOID:0050453
C103921, NCI, DOID:0050453
257320, OMIM, DOID:0050453
300067, OMIM, DOID:0050453
300215, OMIM, DOID:0050453
607432, OMIM, DOID:0050453
611603, OMIM, DOID:0050453
614019, OMIM, DOID:0050453
615191, OMIM, DOID:0050453
102009, ORDO, DOID:0050453
204036008, SNOMEDCT_US_2015_03_01, DOID:0050453
23024003, SNOMEDCT_US_2015_03_01, DOID:0050453
26425000, SNOMEDCT_US_2015_03_01, DOID:0050453
C0266463, UMLS_CUI, DOID:0050453
C0266483, UMLS_CUI, DOID:0050453
C548481, MSH, DOID:0050454
D054091, MSH, DOID:0050454
300049, OMIM, DOID:0050454
300537, OMIM, DOID:0050454
608097, OMIM, DOID:0050454
608098, OMIM, DOID:0050454
612881, OMIM, DOID:0050454
615544, OMIM, DOID:0050454
98892, ORDO, DOID:0050454
448227009, SNOMEDCT_US_2015_03_01, DOID:0050454
C1848213, UMLS_CUI, DOID:0050454
C1868720, UMLS_CUI, DOID:0050454
A31.1, ICD10CM, DOID:0050456
D054312, MSH, DOID:0050456
C84604, NCI, DOID:0050456
15845006, SNOMEDCT_US_2015_03_01, DOID:0050456
186343005, SNOMEDCT_US_2015_03_01, DOID:0050456
C0085568, UMLS_CUI, DOID:0050456
D054331, MSH, DOID:0050457
305700, OMIM, DOID:0050457
400042, OMIM, DOID:0050457
73465006, SNOMEDCT_US_2015_03_01, DOID:0050457
C1384583, UMLS_CUI, DOID:0050457
C93.3, ICD10CM, DOID:0050458
C93.30, ICD10CM, DOID:0050458
D054429, MSH, DOID:0050458
C9233, NCI, DOID:0050458
607785, OMIM, DOID:0050458
128832006, SNOMEDCT_US_2015_03_01, DOID:0050458
277587001, SNOMEDCT_US_2015_03_01, DOID:0050458
445227008, SNOMEDCT_US_2015_03_01, DOID:0050458
C0349639, UMLS_CUI, DOID:0050458
D054559, MSH, DOID:0050459
C113750, NCI, DOID:0050459
20165001, SNOMEDCT_US_2015_03_01, DOID:0050459
C0085681, UMLS_CUI, DOID:0050459
Q93.3, ICD10CM, DOID:0050460
D054877, MSH, DOID:0050460
C35528, NCI, DOID:0050460
194190, OMIM, DOID:0050460
17122004, SNOMEDCT_US_2015_03_01, DOID:0050460
C0796117, UMLS_CUI, DOID:0050460
C1956097, UMLS_CUI, DOID:0050460
E77.1, ICD10CM, DOID:0050461
D054880, MSH, DOID:0050461
C61273, NCI, DOID:0050461
208400, OMIM, DOID:0050461
54954004, SNOMEDCT_US_2015_03_01, DOID:0050461
C0268225, UMLS_CUI, DOID:0050461
D054882, MSH, DOID:0050462
201750, OMIM, DOID:0050462
207410, OMIM, DOID:0050462
62964007, SNOMEDCT_US_2015_03_01, DOID:0050462
C1860042, UMLS_CUI, DOID:0050462
C2350233, UMLS_CUI, DOID:0050462
C2936791, UMLS_CUI, DOID:0050462
D055036, MSH, DOID:0050463
C84609, NCI, DOID:0050463
114290, OMIM, DOID:0050463
74928006, SNOMEDCT_US_2015_03_01, DOID:0050463
C1861922, UMLS_CUI, DOID:0050463
C1861923, UMLS_CUI, DOID:0050463
D055577, MSH, DOID:0050464
C84710, NCI, DOID:0050464
228000, OMIM, DOID:0050464
79935000, SNOMEDCT_US_2015_03_01, DOID:0050464
C0268255, UMLS_CUI, DOID:0050464
D055653, MSH, DOID:0050465
C84905, NCI, DOID:0050465
158320, OMIM, DOID:0050465
403824007, SNOMEDCT_US_2015_03_01, DOID:0050465
C1321489, UMLS_CUI, DOID:0050465
D055947, MSH, DOID:0050466
C75006, NCI, DOID:0050466
608967, OMIM, DOID:0050466
609192, OMIM, DOID:0050466
610168, OMIM, DOID:0050466
610380, OMIM, DOID:0050466
613795, OMIM, DOID:0050466
614816, OMIM, DOID:0050466
60030, ORDO, DOID:0050466
446263001, SNOMEDCT_US_2015_03_01, DOID:0050466
C1836635, UMLS_CUI, DOID:0050466
C2697932, UMLS_CUI, DOID:0050466
C566591, MSH, DOID:0050467
D056266, MSH, DOID:0050467
C84696, NCI, DOID:0050467
133200, OMIM, DOID:0050467
254184006, SNOMEDCT_US_2015_03_01, DOID:0050467
70041004, SNOMEDCT_US_2015_03_01, DOID:0050467
C0265961, UMLS_CUI, DOID:0050467
C1851480, UMLS_CUI, DOID:0050467
L60.5, ICD10CM, DOID:0050468
D056684, MSH, DOID:0050468
C85238, NCI, DOID:0050468
153300, OMIM, DOID:0050468
400211001, SNOMEDCT_US_2015_03_01, DOID:0050468
45342007, SNOMEDCT_US_2015_03_01, DOID:0050468
C0221348, UMLS_CUI, DOID:0050468
D056685, MSH, DOID:0050469
C84652, NCI, DOID:0050469
218040, OMIM, DOID:0050469
205803001, SNOMEDCT_US_2015_03_01, DOID:0050469
309776008, SNOMEDCT_US_2015_03_01, DOID:0050469
C0587248, UMLS_CUI, DOID:0050469
D056731, MSH, DOID:0050470
C84676, NCI, DOID:0050470
246200, OMIM, DOID:0050470
111307005, SNOMEDCT_US_2015_03_01, DOID:0050470
33559001, SNOMEDCT_US_2015_03_01, DOID:0050470
C0265344, UMLS_CUI, DOID:0050470
C0271695, UMLS_CUI, DOID:0050470
D056733, MSH, DOID:0050471
C4705, NCI, DOID:0050471
160980, OMIM, DOID:0050471
605244, OMIM, DOID:0050471
608837, OMIM, DOID:0050471
1359, ORDO, DOID:0050471
239132009, SNOMEDCT_US_2015_03_01, DOID:0050471
C0406810, UMLS_CUI, DOID:0050471
C1854540, UMLS_CUI, DOID:0050471
C2607929, UMLS_CUI, DOID:0050471
Q84.1, ICD10CM, DOID:0050472
D056734, MSH, DOID:0050472
C84894, NCI, DOID:0050472
158000, OMIM, DOID:0050472
205596006, SNOMEDCT_US_2015_03_01, DOID:0050472
276482004, SNOMEDCT_US_2015_03_01, DOID:0050472
69488000, SNOMEDCT_US_2015_03_01, DOID:0050472
C0546966, UMLS_CUI, DOID:0050472
D056769, MSH, DOID:0050473
C84549, NCI, DOID:0050473
203800, OMIM, DOID:0050473
63702009, SNOMEDCT_US_2015_03_01, DOID:0050473
C0268425, UMLS_CUI, DOID:0050473
D056770, MSH, DOID:0050474
C84922, NCI, DOID:0050474
256500, OMIM, DOID:0050474
205555008, SNOMEDCT_US_2015_03_01, DOID:0050474
239058007, SNOMEDCT_US_2015_03_01, DOID:0050474
254127001, SNOMEDCT_US_2015_03_01, DOID:0050474
312514006, SNOMEDCT_US_2015_03_01, DOID:0050474
34638006, SNOMEDCT_US_2015_03_01, DOID:0050474
54336006, SNOMEDCT_US_2015_03_01, DOID:0050474
C0265962, UMLS_CUI, DOID:0050474
D056846, MSH, DOID:0050475
C85226, NCI, DOID:0050475
277600, OMIM, DOID:0050475
608328, OMIM, DOID:0050475
613195, OMIM, DOID:0050475
614819, OMIM, DOID:0050475
3449, ORDO, DOID:0050475
205801004, SNOMEDCT_US_2015_03_01, DOID:0050475
2884008, SNOMEDCT_US_2015_03_01, DOID:0050475
C0265313, UMLS_CUI, DOID:0050475
C1869114, UMLS_CUI, DOID:0050475
C1869115, UMLS_CUI, DOID:0050475
E78.71, ICD10CM, DOID:0050476
D056889, MSH, DOID:0050476
C84585, NCI, DOID:0050476
302060, OMIM, DOID:0050476
297231002, SNOMEDCT_US_2015_03_01, DOID:0050476
C0574083, UMLS_CUI, DOID:0050476
D056929, MSH, DOID:0050477
C84827, NCI, DOID:0050477
177200, OMIM, DOID:0050477
190901004, SNOMEDCT_US_2015_03_01, DOID:0050477
237493003, SNOMEDCT_US_2015_03_01, DOID:0050477
707749005, SNOMEDCT_US_2015_03_01, DOID:0050477
71275003, SNOMEDCT_US_2015_03_01, DOID:0050477
C0221043, UMLS_CUI, DOID:0050477
R21, ICD10CM, DOID:0050486
782.1, ICD9CM, DOID:0050486
D005076, MSH, DOID:0050486
C111884, NCI, DOID:0050486
C39594, NCI, DOID:0050486
112625008, SNOMEDCT_US_2015_03_01, DOID:0050486
139684003, SNOMEDCT_US_2015_03_01, DOID:0050486
158230006, SNOMEDCT_US_2015_03_01, DOID:0050486
158231005, SNOMEDCT_US_2015_03_01, DOID:0050486
158234002, SNOMEDCT_US_2015_03_01, DOID:0050486
1806006, SNOMEDCT_US_2015_03_01, DOID:0050486
206860008, SNOMEDCT_US_2015_03_01, DOID:0050486
206861007, SNOMEDCT_US_2015_03_01, DOID:0050486
206864004, SNOMEDCT_US_2015_03_01, DOID:0050486
267183006, SNOMEDCT_US_2015_03_01, DOID:0050486
271807003, SNOMEDCT_US_2015_03_01, DOID:0050486
C0015230, UMLS_CUI, DOID:0050486
138800, OMIM, DOID:0050489
300273, OMIM, DOID:0050489
606082, OMIM, DOID:0050489
276399, ORDO, DOID:0050489
B08.2, ICD10CM, DOID:0050495
B08.20, ICD10CM, DOID:0050495
